Likely to Change Occupation,Geographic Mobility,Professional Networks,Job Satisfaction,Work-Life Balance,Skills Gap,Salary,Job Security,Years of Experience,Age,Job Opportunities,Industry Growth Rate
1,0,10,7,5,7,172194,8,20,42,7,Medium
0,1,2,7,7,6,124071,1,36,53,39,Medium
1,1,9,3,7,5,46371,1,12,49,46,Medium
0,0,10,8,2,1,193985,5,2,20,68,Medium
1,0,9,7,4,6,158583,4,12,43,4,High
1,1,6,7,1,10,106898,4,4,25,9,Low
0,1,2,9,8,2,73642,9,36,23,67,Low
1,1,3,5,1,8,170588,3,5,45,40,High
0,1,7,5,10,5,77638,10,26,55,31,Low
1,1,1,3,6,5,59257,9,33,59,83,High
1,0,3,2,2,4,198639,4,25,20,14,Low
1,0,5,3,9,4,71846,4,33,53,39,High
1,0,9,1,10,1,181054,2,4,38,38,Low
0,0,6,8,10,7,176323,9,28,26,3,High
1,1,6,1,8,6,187661,2,10,43,21,High
0,1,10,6,4,1,104441,8,31,31,33,Medium
1,1,8,7,1,9,87660,3,14,58,75,Medium
0,1,4,10,3,7,125081,2,5,35,41,Medium
1,1,1,3,6,3,32920,3,17,51,37,Medium
1,1,6,4,8,4,146400,3,3,39,50,Medium
1,1,9,1,3,7,49975,4,17,31,26,High
1,0,10,1,9,1,97649,3,1,44,28,Medium
1,0,6,1,9,5,101635,9,0,31,64,Low
1,0,2,1,7,1,106260,5,36,28,35,Medium
1,0,5,4,7,7,158335,2,22,50,45,Medium
1,0,5,2,1,8,66487,8,9,45,26,Medium
0,0,1,9,9,4,186995,2,8,25,77,High
0,0,10,7,5,1,65643,9,0,40,19,Medium
0,1,5,10,9,4,51636,2,1,45,12,High
0,0,4,6,3,4,76413,4,14,55,34,High
0,0,6,7,10,1,102588,7,25,32,39,Medium
0,0,8,10,9,10,111929,8,20,41,15,High
1,0,7,1,7,1,56160,3,18,44,69,Medium
1,0,7,2,3,7,193189,7,34,44,42,High
1,0,6,6,9,5,146492,1,2,52,68,High
1,0,10,6,1,10,39686,4,22,25,35,Medium
1,0,6,7,3,4,48752,9,7,35,5,Low
0,0,5,9,9,10,157810,4,20,21,65,Low
1,1,10,6,3,5,61750,4,34,37,80,Medium
1,1,4,6,4,5,196370,9,30,52,3,High
0,0,1,10,9,9,149863,9,4,38,2,Medium
0,0,5,7,2,6,62371,3,28,58,63,Medium
1,1,7,5,10,4,46052,2,38,42,85,High
1,0,2,4,6,8,147360,9,34,37,42,High
1,1,3,1,7,1,86492,3,21,53,88,High
1,0,1,4,4,5,155426,3,39,39,15,Low
1,0,8,1,4,10,187261,9,14,28,68,Low
0,1,8,7,9,6,100119,10,14,30,25,Medium
1,1,6,2,5,7,155588,8,11,58,13,Low
1,0,9,3,7,1,190811,6,26,34,88,Low
1,0,9,3,1,9,51727,10,0,35,4,High
1,0,10,2,5,6,147322,3,13,31,20,High
0,0,10,10,6,1,134195,9,39,57,46,High
1,0,7,3,1,10,167069,3,29,43,63,Low
1,0,9,1,1,6,64051,4,10,47,70,Medium
0,0,5,6,1,10,53284,3,29,32,51,Medium
1,0,7,4,6,8,174565,9,34,58,41,High
1,1,6,6,9,2,35347,8,30,35,45,High
1,0,5,10,8,5,181716,10,6,43,14,Medium
1,0,1,1,1,9,127852,2,6,23,24,Low
1,0,4,3,7,10,104071,8,1,41,86,Medium
1,1,1,6,4,10,30781,9,39,34,92,Low
1,0,8,2,3,9,163623,10,22,58,69,Low
1,0,6,3,2,7,167701,1,6,31,40,Low
0,0,1,7,5,6,145357,2,15,31,21,Low
1,0,6,4,6,9,161717,3,27,24,50,High
1,0,3,4,2,9,174302,2,32,45,41,Low
1,0,5,6,9,7,58795,1,27,54,20,Low
1,1,8,9,3,7,171521,3,11,33,77,Low
1,1,9,6,7,3,48351,9,23,44,22,Medium
1,0,9,4,8,8,79437,9,37,33,81,High
1,1,9,1,3,5,95087,2,15,41,11,Medium
0,1,3,8,7,4,167653,9,23,36,47,High
1,0,10,8,2,7,41190,9,2,31,91,Medium
1,0,10,3,8,6,35410,4,28,20,14,High
1,1,1,1,8,7,65634,7,36,28,21,High
0,0,2,7,10,7,198455,9,32,31,69,Medium
1,0,6,1,10,9,175448,7,27,56,15,High
0,0,1,6,3,3,52785,1,26,39,16,Medium
1,0,9,2,4,6,197340,7,20,57,99,Low
1,0,1,2,8,1,98803,5,32,55,28,Low
1,1,10,4,1,3,168141,8,11,53,50,High
0,0,6,5,10,9,188806,6,36,49,35,High
0,1,7,7,3,3,142169,2,21,32,3,Low
1,1,6,1,3,3,104965,9,33,32,82,Low
0,0,4,7,5,10,162279,4,20,31,81,Low
1,1,9,9,3,2,191458,5,32,57,81,Low
0,0,5,6,3,6,151668,7,7,52,59,Low
1,0,8,3,2,7,114761,1,29,49,8,Low
1,0,3,2,4,8,130318,6,39,54,30,High
1,0,5,2,2,8,40350,2,33,36,90,Medium
0,0,4,5,3,7,154184,6,12,49,57,Low
1,0,9,4,7,2,104763,7,21,43,8,Low
0,0,2,7,8,9,183512,6,21,37,50,High
1,1,1,1,10,10,92368,9,11,25,87,High
0,1,2,10,1,2,180043,9,18,39,48,High
1,0,8,1,4,8,137692,2,10,28,87,Medium
1,0,9,1,6,5,92507,5,34,40,54,High
0,0,9,10,6,1,181379,7,24,43,65,Medium
0,1,9,10,7,7,181165,5,24,51,57,Low
1,0,9,7,10,5,142217,8,28,22,4,Medium
1,0,9,3,5,1,156311,4,9,45,72,High
1,0,3,1,2,5,77118,10,10,24,38,Medium
1,0,2,6,9,8,42867,3,10,36,16,Medium
1,0,7,2,1,8,185892,2,5,37,43,Low
1,1,6,5,10,5,179092,10,21,41,36,High
1,0,2,1,9,5,115744,3,26,55,93,Low
1,0,2,1,10,10,142492,4,3,46,26,Medium
1,0,8,3,3,5,72998,7,20,30,60,Medium
1,0,1,1,3,4,139850,8,14,46,24,High
0,0,4,5,9,6,193324,9,4,42,57,Medium
1,0,6,4,9,5,183484,7,37,47,69,Low
0,0,4,10,10,9,132842,2,15,40,32,Low
1,1,9,3,4,7,40728,8,0,57,81,High
1,1,1,3,1,1,71520,7,5,32,63,High
0,0,8,7,4,1,189034,3,32,33,88,Medium
1,1,2,2,8,7,178338,9,30,44,22,Low
0,0,7,5,9,1,184692,6,16,46,28,High
0,0,6,6,8,10,119116,8,13,34,20,Low
1,0,6,1,7,2,75833,2,19,37,3,High
0,0,3,5,2,6,158133,10,34,38,22,Medium
0,1,10,8,6,1,153489,9,21,34,100,High
1,1,8,3,4,3,99212,9,26,36,85,Medium
1,1,6,5,2,10,40442,2,32,51,40,Medium
1,1,9,8,8,6,112409,1,37,22,51,Low
0,0,8,5,2,10,111982,6,39,57,98,Medium
0,0,8,5,5,3,143499,5,0,33,74,Medium
1,0,6,4,10,1,111257,10,31,43,49,High
0,1,5,9,6,4,141900,5,11,42,73,Low
0,0,6,10,3,3,182185,10,16,52,78,Low
1,0,1,1,3,1,110201,8,8,27,67,High
1,0,5,1,3,1,191081,1,12,36,7,Medium
1,0,2,6,9,9,125430,3,0,47,51,High
1,0,3,4,9,6,67548,2,39,25,49,Low
1,1,7,2,1,9,44683,2,30,30,9,Low
0,1,10,9,6,5,138944,7,28,56,29,Low
0,1,1,10,1,1,79522,10,1,59,90,Medium
1,0,5,4,7,4,142599,4,9,26,70,High
1,1,10,7,8,1,189973,2,39,25,77,High
0,1,5,5,3,4,194005,8,20,30,86,Medium
1,0,5,2,10,3,69850,9,28,23,61,Low
1,0,10,2,7,5,93185,8,24,39,54,Low
0,0,6,6,2,1,159744,2,14,23,47,Medium
0,1,7,10,8,8,148570,6,37,56,40,Medium
1,0,1,4,5,5,76830,7,8,43,81,Low
0,0,8,6,8,5,75619,5,33,26,10,Medium
1,1,5,4,5,6,41349,4,35,47,26,High
0,1,1,7,10,2,191206,10,22,54,57,High
1,0,7,5,2,6,44031,9,31,32,77,Medium
1,0,6,10,6,6,118059,7,18,56,4,High
0,0,4,10,3,5,102779,1,5,27,59,Low
1,1,7,4,1,8,129214,1,12,39,1,Medium
0,0,9,7,2,5,194957,2,17,21,93,High
1,0,1,1,3,1,43409,9,8,49,75,Low
0,1,3,10,5,2,58054,8,30,30,85,High
1,0,4,1,6,5,31051,2,39,21,19,Low
1,0,8,1,10,8,193623,1,34,38,82,Low
0,0,9,10,9,3,128239,8,23,53,26,Medium
1,1,5,4,7,2,97766,1,19,50,48,Low
0,0,3,5,8,7,154997,1,14,34,5,High
0,0,3,10,5,6,159572,8,10,27,55,High
0,0,9,10,5,9,124881,7,29,47,56,Low
1,0,8,3,8,1,150592,1,16,40,62,Medium
0,1,1,10,1,5,102920,2,5,54,23,Medium
1,0,5,10,8,2,92780,1,34,54,24,Low
1,0,3,3,6,2,89550,9,31,45,8,Medium
1,0,9,7,5,4,87221,8,28,24,94,Medium
1,1,10,4,4,6,194648,3,10,22,81,High
1,1,10,3,5,2,65699,7,8,37,47,Medium
0,0,3,5,5,2,116700,7,33,33,86,Low
1,0,1,4,7,7,165994,8,11,35,2,High
0,0,4,5,7,4,150589,10,27,35,16,High
0,0,4,6,4,4,65733,2,28,46,2,High
1,0,2,4,9,4,71347,2,18,28,20,Medium
1,0,7,3,9,2,84460,3,3,50,85,Medium
1,0,8,2,1,5,113291,1,6,40,97,Low
0,0,5,6,4,10,132171,9,1,46,38,Medium
1,0,1,9,2,9,35543,9,15,46,12,Medium
1,1,6,2,5,10,62083,7,30,46,28,Medium
1,0,1,1,4,5,37697,6,15,33,20,High
0,0,9,8,1,6,174738,1,26,53,31,Low
0,0,4,9,8,7,193539,7,4,21,1,Low
0,1,9,8,3,4,77234,3,1,20,33,Medium
1,0,10,3,10,3,86396,9,7,38,23,Medium
1,1,3,1,3,8,31466,4,37,25,72,Medium
1,0,7,6,6,1,45989,4,12,35,57,High
1,0,4,3,1,8,108543,4,32,48,67,Medium
0,0,4,9,10,2,113384,7,16,26,10,High
1,0,3,9,3,2,123948,8,6,23,8,Medium
0,0,10,9,4,4,64069,2,25,58,30,Low
1,0,7,2,5,5,70696,10,21,27,30,High
1,1,6,2,6,10,121321,1,17,58,37,Low
0,0,10,7,3,5,87608,10,15,40,49,Medium
1,0,8,6,6,8,127628,3,28,29,77,Low
1,1,9,9,6,8,44308,1,6,26,24,Medium
1,1,3,2,9,9,179682,8,12,44,92,Medium
1,0,9,4,6,7,153246,2,12,58,82,High
0,1,1,8,9,8,51042,7,13,45,65,High
0,0,7,8,6,6,111533,7,33,45,77,Low
0,0,2,6,7,2,192730,7,24,59,64,High
0,0,2,9,5,1,98116,10,19,26,57,Medium
1,0,1,2,8,8,166694,5,37,25,3,High
1,0,9,3,9,10,168421,3,28,35,16,Low
0,1,4,10,9,9,116971,8,38,25,18,Medium
1,0,9,2,2,10,196412,4,4,24,93,Low
0,0,3,10,8,7,62966,2,12,32,73,High
0,0,3,9,10,10,162201,7,16,39,92,Medium
1,0,1,1,3,6,152374,3,34,34,100,Medium
0,1,6,7,6,8,180653,9,5,55,29,Medium
1,1,6,7,9,4,32716,8,7,58,1,Medium
1,0,8,1,3,3,178868,3,35,52,48,High
1,0,2,2,4,8,83634,9,14,33,8,Medium
0,0,6,9,6,5,83639,6,30,26,14,High
0,0,9,7,2,4,59670,9,1,36,94,High
0,1,1,6,1,1,56950,1,33,41,18,High
1,0,2,2,10,2,104807,1,15,25,88,Low
0,0,9,8,2,4,143221,6,3,53,7,Low
0,0,6,6,8,7,95776,1,19,25,65,Low
0,0,2,7,10,8,149181,7,30,53,17,Medium
1,1,5,1,5,1,138047,6,36,48,53,Low
1,0,7,1,5,6,35269,9,1,51,12,Medium
1,0,7,9,5,7,143793,7,35,52,61,Low
1,0,1,2,7,7,181100,4,2,42,1,Low
1,1,9,1,2,9,118177,7,15,31,58,Low
0,1,5,9,2,1,178344,8,32,43,96,High
1,0,5,2,1,4,196925,1,19,36,73,High
1,0,1,1,2,10,179172,3,25,45,96,Medium
1,0,4,4,8,10,86117,1,6,55,61,Medium
1,0,10,4,3,1,189484,10,32,33,52,High
1,1,6,1,2,8,162371,3,14,28,84,Low
1,1,5,8,7,5,195637,4,29,31,96,Low
0,0,2,10,5,3,136311,10,28,34,72,High
0,1,6,7,4,9,153745,10,30,36,42,High
1,1,2,4,10,10,170399,8,10,21,85,High
0,0,10,6,6,7,191323,6,8,42,61,Medium
0,1,9,8,9,9,138491,10,32,58,96,Medium
1,0,10,1,5,6,87939,3,1,52,98,Low
0,1,5,8,9,3,188761,3,32,45,68,High
1,0,5,3,3,2,90282,10,29,24,90,High
1,0,3,9,5,9,35636,10,22,31,13,Medium
1,0,5,5,7,8,117892,1,10,20,93,Medium
0,1,10,6,4,2,165451,8,8,52,54,High
0,0,4,10,9,6,118741,5,7,26,15,Low
1,0,4,2,3,4,125864,7,8,56,63,High
0,0,7,8,3,1,51673,6,25,58,46,Low
0,1,4,8,3,10,132326,8,30,59,43,Low
1,0,2,10,7,5,74115,7,20,31,53,Low
1,1,3,4,2,10,69236,7,6,38,66,High
1,0,8,1,9,4,75124,10,20,58,17,High
1,0,6,7,10,4,109380,8,5,29,91,High
0,1,6,8,3,4,149020,6,20,22,25,High
1,1,5,8,7,9,148313,10,1,28,63,Low
1,1,2,4,6,9,37837,4,38,26,25,High
0,0,7,8,3,4,90186,3,14,36,86,High
1,0,4,2,7,9,45867,6,7,48,36,Low
0,0,7,6,7,7,185086,8,30,33,68,High
1,1,2,3,7,10,63477,2,6,36,34,High
1,1,3,1,7,7,35495,2,2,29,13,High
0,0,4,5,8,9,71269,3,34,43,48,High
1,0,5,4,10,10,105118,7,12,21,22,Medium
1,0,2,3,3,10,159753,7,15,59,5,High
0,0,8,7,1,6,143034,6,15,53,45,Low
0,0,6,6,6,10,103181,3,4,41,37,Medium
0,0,2,7,5,10,103495,10,15,49,45,High
1,0,2,3,8,1,65187,1,38,48,64,Medium
0,1,2,6,4,10,106478,3,38,50,67,High
0,0,2,5,10,3,176692,1,4,22,26,Medium
1,0,9,5,7,5,77636,8,24,57,64,High
1,0,9,5,6,6,158406,9,19,35,71,Medium
0,0,10,5,10,10,137561,4,7,47,7,High
1,1,4,2,7,7,32251,6,1,25,2,Medium
0,1,9,10,1,4,89902,10,21,30,24,High
0,1,5,10,2,7,104854,9,4,23,98,High
1,1,3,4,1,6,68967,3,19,51,60,High
1,1,3,2,2,7,130417,5,3,55,80,High
0,0,7,7,10,3,171267,2,32,33,51,Medium
0,0,8,10,9,9,157904,4,16,51,49,High
1,0,4,3,2,2,75929,6,10,58,62,Low
0,0,9,6,5,1,67420,9,33,27,31,High
0,1,8,7,7,2,191409,6,12,44,9,Low
1,0,10,3,3,10,101805,8,5,49,26,Low
0,0,8,8,2,8,196766,9,29,41,57,Low
1,0,1,3,1,8,165958,7,32,48,16,High
1,0,7,1,10,6,64160,6,15,49,48,Low
0,0,4,6,3,9,145631,7,38,25,23,Low
0,0,9,10,8,1,139381,7,37,53,59,Low
0,0,10,9,2,4,193535,8,28,46,37,High
1,0,7,3,8,9,187212,3,22,21,26,Medium
1,1,3,1,8,8,177531,7,5,46,3,High
0,0,4,5,3,8,169195,7,38,50,92,Medium
0,1,5,10,6,3,152872,3,24,39,41,High
0,0,8,8,8,2,134647,8,19,22,33,High
1,0,3,2,4,2,140805,9,12,42,63,Low
1,0,1,1,7,4,188698,1,32,33,57,High
1,0,1,6,3,10,30595,9,16,52,34,Low
1,0,7,4,1,9,111029,8,20,31,32,Low
0,0,8,10,9,10,192297,6,33,25,14,Low
1,0,1,5,10,4,147243,3,17,51,9,Medium
1,0,8,5,2,4,33435,2,30,31,26,High
1,1,2,3,3,10,158411,7,9,33,53,High
0,1,2,10,2,1,119031,3,34,28,97,High
1,0,8,1,6,8,57909,2,13,49,88,Medium
0,0,8,6,10,2,56739,10,20,26,35,Low
0,0,9,10,9,7,180534,8,7,53,37,Low
1,1,4,8,3,10,32413,2,19,50,87,Low
1,1,2,4,3,1,93230,5,26,34,19,Medium
1,0,8,10,2,8,44779,1,1,28,55,High
0,0,3,7,5,7,179233,9,22,53,54,Medium
1,0,10,1,1,9,134301,4,27,56,47,Medium
1,0,5,8,10,10,30368,9,19,32,73,Low
1,0,7,8,3,4,127459,6,3,20,77,Medium
1,0,8,7,7,2,169608,8,8,45,36,Medium
1,1,7,9,7,6,171932,5,8,31,85,Medium
1,1,1,1,1,10,111099,8,7,41,42,Low
1,0,3,7,1,9,171222,10,28,57,79,Medium
1,1,6,10,4,5,118478,10,15,24,86,High
1,0,6,6,8,2,42062,6,36,33,33,Medium
1,1,2,10,3,7,33985,1,29,53,84,Low
1,0,10,2,5,2,189826,6,39,31,64,Low
0,1,9,9,7,10,57228,7,36,55,81,Low
1,1,7,2,7,9,37869,2,23,56,75,High
0,0,2,5,2,10,115501,8,37,38,41,High
0,1,1,9,9,1,188322,6,27,56,97,Low
0,0,8,6,5,6,121141,4,24,36,4,Low
1,0,9,9,3,2,37233,6,7,48,97,Low
1,1,7,1,8,9,164484,9,13,49,49,High
0,1,4,9,8,8,176510,10,5,25,25,Medium
1,1,6,1,2,7,165481,8,10,58,41,Low
1,0,1,2,4,10,137009,8,6,57,88,Medium
0,0,8,6,4,4,154544,1,23,42,82,Low
1,0,10,5,1,3,43877,7,10,20,58,Low
0,1,4,7,4,1,172728,6,29,21,91,Low
1,0,1,3,7,6,30370,5,38,31,80,Medium
0,1,9,9,2,9,167921,1,3,29,88,High
0,1,10,9,9,1,55761,9,22,41,6,Low
1,0,7,4,6,10,123135,3,25,34,76,High
1,0,1,1,2,1,72249,6,33,29,61,Medium
1,1,9,2,5,9,70477,1,8,50,70,High
1,0,3,2,2,2,186777,1,21,29,32,Medium
1,0,7,10,2,7,115192,3,17,39,26,Medium
0,0,9,9,8,6,199087,7,28,25,75,Medium
1,0,4,2,8,6,82335,2,20,32,59,Medium
0,0,9,9,3,2,84545,4,1,35,29,High
0,0,4,6,1,5,176320,3,2,50,100,Low
0,0,5,9,4,7,79228,10,3,39,76,High
1,0,5,1,1,8,152013,2,13,28,24,Low
0,0,9,7,1,10,65645,7,11,52,45,Medium
0,0,3,9,2,8,145844,7,19,21,57,High
1,0,4,1,9,3,159994,1,9,37,27,Low
1,1,7,5,9,1,41162,3,1,58,13,Low
1,1,9,9,2,9,133915,5,9,55,94,Medium
0,1,10,9,3,2,168518,9,7,36,19,High
1,1,10,3,7,5,43275,7,1,27,72,Medium
0,0,5,8,8,9,170302,10,1,34,11,Low
0,1,2,7,10,10,88643,7,11,25,54,Medium
0,0,2,7,8,10,197893,8,8,31,44,Medium
1,1,8,10,9,1,37436,10,38,25,9,Medium
0,1,7,6,2,6,159614,3,27,38,64,High
1,0,1,3,3,10,162826,10,27,25,21,High
1,0,5,1,6,2,186359,3,1,50,26,High
0,0,8,6,1,7,88706,5,25,38,41,Medium
1,0,1,4,7,8,161832,10,4,46,91,High
0,0,10,10,9,7,174385,8,2,50,15,Low
1,0,2,1,4,6,185887,5,21,20,56,Medium
1,0,1,10,10,1,45261,5,33,55,81,Low
1,0,4,8,6,1,95792,10,0,27,89,High
1,0,9,5,10,8,34512,7,3,22,15,Medium
0,1,4,9,3,7,115820,5,9,46,53,Medium
0,0,1,6,5,3,146850,5,34,30,43,Medium
1,0,7,2,1,2,195029,5,35,47,40,High
1,1,5,7,2,1,196129,1,39,28,50,Medium
0,0,1,7,6,8,104723,4,8,25,69,High
0,0,10,10,8,5,81012,4,2,37,79,High
0,0,3,5,3,10,79752,1,0,50,29,Low
0,0,3,5,10,9,166313,3,36,23,41,Low
0,0,1,6,1,1,165222,3,15,33,12,High
1,1,8,2,4,1,90848,3,30,29,34,Low
1,0,6,1,8,1,165091,4,6,51,79,High
0,0,8,8,10,1,151937,4,20,39,87,Low
0,0,1,5,3,5,176222,6,12,43,89,Low
1,0,1,6,4,10,108210,7,16,48,94,High
1,0,10,1,7,6,73351,8,34,51,12,Low
0,1,1,9,1,1,116008,8,21,38,44,High
0,0,7,7,8,2,145377,5,24,27,83,High
1,0,8,1,5,8,126090,9,15,41,64,High
1,0,10,1,8,3,99165,3,26,48,98,High
1,1,1,7,6,8,36704,9,21,56,100,High
0,1,2,9,6,5,85186,5,4,43,89,High
1,1,10,3,7,7,179666,8,22,32,100,Low
1,0,9,4,1,4,191357,7,25,34,5,High
0,0,7,10,2,6,174507,3,22,50,61,Medium
0,1,2,6,5,8,141193,3,8,30,85,Medium
0,0,8,9,4,6,88784,10,0,21,92,High
1,1,5,3,9,6,153182,7,31,36,13,Low
1,0,4,8,7,5,35782,3,35,25,46,Low
0,0,2,8,5,2,65561,5,32,42,41,Low
1,0,2,2,1,3,161637,5,38,21,98,Low
1,0,4,1,9,8,84796,3,36,20,62,Medium
0,0,10,5,2,7,139388,8,39,34,55,Low
1,0,10,7,9,2,116928,2,7,26,40,Low
0,0,4,5,1,6,59430,3,14,54,27,Medium
1,0,9,1,3,8,54399,9,22,38,93,Low
0,1,7,6,4,2,128384,4,6,57,51,Low
0,1,10,6,8,9,130591,10,12,38,23,High
1,0,7,8,6,7,191637,2,25,38,3,Low
1,1,5,3,5,1,58930,10,36,38,30,Medium
0,0,3,6,8,5,113038,9,28,29,29,High
1,1,4,1,10,2,103143,4,17,44,23,Low
0,0,8,5,10,10,188486,3,30,21,74,Medium
1,1,3,2,8,10,164042,7,20,48,10,Low
1,0,5,1,3,6,166327,4,31,38,70,Low
0,1,1,7,2,10,121713,7,15,26,75,Medium
1,1,10,6,10,4,153971,6,32,35,80,Low
1,0,6,4,7,5,100649,4,24,31,10,Low
0,1,3,7,5,9,110522,7,24,38,85,Medium
0,1,10,5,4,10,173452,6,4,24,9,Medium
1,0,7,4,3,5,72915,6,31,23,74,Low
0,0,9,10,8,8,164011,9,0,48,19,Medium
0,0,8,10,10,5,199275,6,6,31,31,High
1,0,1,10,1,10,47920,9,12,37,64,High
0,0,5,10,3,4,68138,6,34,53,25,High
1,1,2,8,8,3,49340,6,16,37,66,Medium
1,1,4,9,8,3,61357,10,39,45,56,Low
1,1,10,3,8,8,98232,1,35,48,95,Medium
0,0,6,10,3,7,160613,2,23,55,40,High
1,0,9,10,2,10,146566,3,17,22,67,High
1,0,7,6,5,4,46116,10,20,35,14,Low
1,0,8,4,9,6,30255,1,33,27,74,High
1,0,10,9,1,4,36869,3,33,40,14,Medium
1,1,4,8,3,9,106464,6,17,27,87,High
0,0,7,5,5,10,100825,7,28,59,54,Low
1,0,1,4,8,10,122290,5,26,54,80,Medium
1,1,1,3,4,9,58371,5,31,44,91,Medium
1,0,3,3,8,8,110903,7,14,32,97,Medium
0,1,5,10,6,6,164137,5,19,35,97,Low
1,0,6,8,1,4,178212,1,11,33,40,High
1,1,5,2,8,3,111131,9,16,41,71,Low
0,1,4,5,8,9,70934,5,26,27,25,High
1,0,1,8,7,7,126805,4,29,24,36,Low
1,0,9,4,9,7,52072,8,28,46,53,High
0,1,9,9,4,9,95049,2,17,40,28,High
0,0,6,5,1,10,84645,1,37,47,9,Low
1,1,9,1,2,10,120045,8,22,29,58,High
0,1,10,7,8,1,103973,10,28,53,19,Medium
1,0,2,2,8,10,121951,7,8,23,37,High
1,0,3,3,3,8,114242,5,9,45,6,Medium
0,0,3,10,3,4,138368,3,6,21,28,Low
1,0,9,8,1,10,47563,10,32,58,12,Medium
0,0,5,6,8,5,64875,2,36,52,98,Low
1,1,2,3,9,8,128035,8,30,40,49,High
1,1,6,3,9,3,109810,5,14,42,52,High
0,0,6,5,9,5,167877,5,38,44,26,Medium
0,1,6,10,4,10,190786,8,39,24,26,Low
1,0,7,3,8,8,82587,7,17,21,6,Medium
0,0,1,7,8,6,183669,8,31,55,86,Low
0,1,3,5,8,2,79396,1,38,37,30,Low
1,1,8,1,9,3,140507,8,21,29,88,Low
1,0,1,3,2,10,156794,10,28,22,5,Medium
1,0,4,2,8,9,193819,7,24,25,32,Medium
0,1,10,6,10,9,64364,1,1,57,95,Medium
0,0,6,6,6,8,80355,8,35,31,50,Medium
1,1,2,4,1,7,57453,7,30,41,80,Medium
0,0,9,6,6,4,87923,1,20,44,87,Low
1,0,1,3,4,1,44235,5,16,51,87,High
0,0,3,6,8,1,164288,9,4,39,78,High
0,0,9,10,9,7,163315,8,3,47,98,Low
0,0,4,10,1,2,118989,8,16,35,96,High
1,0,2,2,6,5,103277,7,14,33,23,High
1,1,10,3,8,1,40529,7,36,46,71,Medium
0,0,2,8,2,5,127077,10,31,24,21,High
1,0,3,1,6,7,179112,7,15,42,69,High
1,1,1,6,10,1,145447,7,38,49,59,High
